Time,92W,92X,92Y,92Z
0.299,2059,2111,1677,13
0.602,2025,2100,1725,13
0.937,2152,2225,1819,13
0.942,2071,2099,1719,13
1.258,2085,2111,1663,13
1.617,2098,2111,1696,13
1.930,2103,2112,1778,13
2.269,2112,2136,1776,13
2.568,2092,2138,1731,13
2.898,2145,2124,1738,13
3.206,2132,2132,1720,13
3.506,2123,2176,1780,13
3.513,2102,2146,1749,13
3.822,2128,2164,1782,13
4.142,2115,2144,1848,13
4.481,2130,2140,1814,13
4.811,2144,2141,1747,13
5.120,2095,2120,1748,13
5.475,2144,2133,1749,13
5.794,2137,2148,1744,13
6.085,2228,2192,1796,13
6.100,2171,2169,1778,13
6.408,2139,2173,1791,13
6.706,2089,2197,1813,13
7.033,2068,2188,1856,13
7.297,2083,2166,1848,14
7.624,2110,2167,1800,13
7.899,2123,2175,1743,13
8.239,2104,2168,1754,13
8.252,2210,2169,1813,13
8.537,2185,2147,1817,13
8.854,2180,2158,1772,13
9.204,2107,2139,1815,13
9.886,2119,2135,1837,13
9.902,2078,2155,1819,13
10.231,2096,2165,1852,13
10.507,2077,2161,1846,14
10.803,2071,2144,1798,13
10.813,2071,2180,1850,14
11.125,2059,2194,1898,14
11.430,1998,2189,1909,14
11.761,2056,2190,1890,14
12.159,2040,2207,1853,14
12.413,2041,2202,1838,14
12.746,2055,2194,1790,14
13.072,1980,2176,1864,14
13.403,1870,2150,1968,14
13.741,1959,2245,1880,14
13.755,2040,2188,1918,14
14.083,2055,2159,1866,14
14.401,1990,2182,1748,14
14.706,1891,2212,1781,13
15.017,1956,2199,1968,14
15.353,2008,2151,1978,14
15.730,1971,2136,1786,14
16.029,2036,2196,1662,13
16.044,2038,2195,1869,13
16.244,2026,2143,2087,14
16.530,1951,2088,1970,14
17.025,2088,2158,1622,13
17.038,2091,2162,1701,13
17.366,2010,2120,1997,14
17.653,1886,2095,1976,14
17.894,1964,2176,1732,14
18.168,2057,2159,1700,13
18.168,1966,2157,1955,14
18.455,1790,2119,1943,14
18.787,1960,2184,1680,13
19.094,2068,2159,1695,13
19.432,2026,2162,1864,14
20.018,1834,2131,1916,14
20.020,1938,2142,1772,13
20.279,2068,2126,1633,13
20.546,2109,2101,1760,13
20.555,1992,2126,1884,14
20.832,1844,2138,1749,13
21.111,2019,2139,1623,13
21.386,2075,2091,1727,13
21.744,2093,2108,1872,13
22.021,1975,2143,1800,13
22.457,1959,2135,1658,13
22.667,2028,2095,1655,12
23.000,2071,2083,1826,13
23.009,2083,2161,1821,13
23.356,1966,2146,1727,13
23.608,1981,2096,1684,13
23.876,2026,2067,1619,12
24.203,2077,2097,1728,12
24.526,2049,2104,1820,13
24.850,2004,2068,1706,13
25.154,1973,2048,1556,13
25.466,1965,2056,1625,12
25.476,2016,2096,1812,13
25.806,1991,2077,1877,13
26.159,1903,2058,1722,14
26.466,1897,2077,1594,13
26.824,1996,2088,1644,12
27.143,2023,2071,1831,13
27.483,2011,2034,1753,13
27.797,1992,2028,1576,13
28.112,2012,2054,1629,13
28.119,2070,2063,1754,12
28.416,2048,2048,1812,12
28.740,1972,2039,1702,13
29.014,2064,2108,1695,14
29.333,2088,2104,1838,14
29.635,2095,2107,1728,13
29.912,2013,2070,1732,12
30.203,1988,2083,1664,13
30.459,2072,2111,1785,14
30.488,2140,2134,1872,14
30.811,2106,2097,1632,13
31.129,2022,2076,1577,12
31.452,2036,2081,1680,13
31.770,2091,2068,1844,14
32.042,2147,2081,1786,13
32.342,2133,2108,1671,13
32.524,2032,2100,1793,13
32.844,2048,2088,1845,13
32.851,2096,2099,1733,14
33.198,2086,2096,1658,13
33.575,2081,2092,1739,13
33.840,1983,2079,1846,13
34.146,2013,2043,1735,13
34.506,2047,2027,1559,13
34.842,2131,2028,1593,13
35.170,2106,2036,1734,13
35.506,1997,2048,1890,13
35.523,2125,2030,1795,13
35.801,2159,2017,1614,13
36.081,2093,1983,1634,13
36.346,2161,2008,1646,12
36.669,2154,2040,1721,12
37.049,2104,2019,1828,13
37.355,2060,1999,1706,13
37.696,2091,1996,1562,13
38.007,2172,2028,1622,12
38.019,2133,2002,1779,13
38.332,2059,2016,1776,13
38.676,2115,2004,1663,13
38.978,2180,2014,1569,13
39.310,2139,2001,1668,12
39.598,2105,2032,1722,12
39.839,2139,2042,1739,13
40.155,2128,2043,1744,13
40.600,2112,2061,1808,13
40.611,2084,2050,1743,13
41.015,2183,2077,1764,13
41.168,2162,2056,1780,13
41.491,2055,2050,1774,13
41.820,2079,2071,1735,13
42.152,2103,2078,1744,13
42.393,2156,2065,1809,13
42.652,2168,2076,1741,13
42.977,2115,2127,1804,13
42.980,2085,2119,1774,13
43.321,2103,2110,1802,13
43.611,2124,2099,1827,13
43.866,2132,2088,1718,13
44.275,2141,2104,1719,13
44.523,2123,2118,1809,13
44.879,2110,2120,1830,13
45.246,2098,2137,1825,13
45.518,2178,2232,1840,13
45.538,2152,2170,1848,14
45.871,2073,2164,1920,14
46.162,2034,2152,1861,14
46.510,2087,2156,1771,14
46.817,2121,2106,1783,13
47.120,2133,2123,1783,14
47.444,2131,2180,1718,13
47.760,2067,2157,1856,14
48.034,2074,2234,2048,14
48.049,1966,2181,1864,14
48.346,2127,2214,1784,14
48.730,2145,2191,1855,14
48.971,2054,2175,1943,14
49.304,1993,2202,1908,14
49.600,1981,2219,1847,14
49.873,1970,2203,1889,14
