Time,92W,92X,92Y,92Z
1.025,2130,1998,1566,11
1.961,2144,2009,1544,12
3.096,2135,2008,1516,11
4.061,2101,1987,1534,11
4.075,2079,1989,1561,11
5.069,2085,1974,1577,12
6.146,2119,1975,1540,11
7.159,2119,2000,1504,11
8.173,2106,2005,1518,11
9.245,2095,2020,1547,11
10.056,2120,2055,1584,12
11.157,2114,2075,1559,12
11.949,2021,2015,1508,11
11.966,2084,1978,1527,11
12.895,2207,2085,1561,11
14.024,2233,2109,1582,12
15.201,2062,2032,1575,12
16.243,2029,1983,1547,11
17.615,2179,2101,1517,11
18.373,2289,2073,1521,11
19.501,2134,1999,1558,12
20.674,2032,2042,1567,12
20.704,2137,2144,1521,11
21.852,2332,2105,1479,11
23.968,2232,2041,1496,11
24.160,2050,2035,1561,11
25.198,2127,2102,1562,11
26.443,2320,2113,1520,11
27.475,2268,2096,1465,11
28.664,2108,2091,1485,11
29.775,2156,2138,1556,11
29.806,2280,2135,1598,12
30.906,2314,2131,1563,11
31.997,2216,2136,1525,11
33.077,2139,2135,1543,11
34.498,2153,2115,1609,12
35.384,2159,2124,1665,12
36.580,2149,2125,1635,12
37.753,2154,2152,1577,12
38.698,2167,2178,1570,12
38.835,2189,2123,1632,12
39.565,2179,2132,1691,12
40.752,2184,2138,1663,12
42.000,2192,2160,1605,12
43.090,2191,2162,1573,12
44.155,2196,2166,1639,12
45.261,2200,2152,1699,12
46.473,2214,2147,1671,12
46.493,2217,2165,1617,12
47.509,2222,2161,1571,12
48.559,2246,2159,1629,12
49.767,2272,2189,1692,12
51.033,2278,2190,1688,12
52.351,2257,2180,1628,12
53.174,2270,2154,1592,12
54.316,2292,2162,1639,12
55.579,2298,2153,1703,12
55.638,2270,2154,1688,12
56.802,2248,2179,1627,12
57.953,2242,2199,1584,12
58.716,2240,2197,1631,12
59.840,2221,2186,1693,12
60.953,2223,2184,1694,12
62.071,2202,2209,1641,12
63.177,2145,2172,1608,12
64.287,2132,2127,1647,12
64.308,2193,2142,1699,12
65.395,2186,2173,1702,12
66.435,2128,2152,1648,12
67.608,2096,2114,1612,12
68.650,2143,2109,1663,12
69.715,2149,2124,1702,12
70.722,2112,2111,1696,12
71.663,2088,2152,1653,12
72.624,2097,2223,1643,12
72.660,2057,2215,1681,12
73.466,1990,2200,1727,13
74.582,1954,2187,1732,13
75.576,1989,2189,1705,13
76.609,2013,2165,1694,13
77.913,1981,2167,1720,13
78.630,1939,2170,1759,13
79.578,1974,2193,1750,13
80.839,2051,2181,1714,13
80.881,2083,2134,1708,13
81.831,2012,2153,1734,13
82.840,1996,2212,1745,13
84.148,2077,2159,1734,13
84.973,2111,2116,1704,13
86.166,2076,2121,1683,13
87.813,2043,2137,1683,13
87.992,2039,2183,1692,13
88.027,2104,2151,1678,13
89.220,2138,2159,1642,12
90.281,2112,2164,1619,12
91.400,2083,2174,1624,12
92.465,2044,2166,1662,12
93.587,2103,2128,1649,12
94.746,2154,2158,1599,12
95.822,2191,2125,1583,12
96.925,2171,2114,1597,12
96.940,2122,2155,1635,12
98.123,2136,2127,1640,12
99.989,2151,2108,1616,12
100.258,2161,2109,1605,12
101.193,2169,2098,1631,12
102.208,2123,2072,1664,12
103.218,2116,2103,1656,12
104.382,2135,2088,1618,12
105.516,2178,2085,1596,12
105.550,2176,2064,1627,12
106.661,2124,2032,1647,12
107.815,2116,2084,1624,12
109.034,2152,2086,1584,12
111.073,2157,2061,1571,12
111.090,2104,2092,1603,12
112.208,2111,2063,1614,12
113.373,2155,2004,1586,12
114.361,2128,1986,1546,12
114.377,2116,1994,1532,12
115.532,2144,2051,1533,12
116.640,2188,1999,1542,12
117.818,2181,1988,1536,12
118.895,2161,2036,1509,11
119.951,2155,2048,1484,11
121.121,2169,1959,1512,11
122.084,2174,1974,1524,11
123.265,2228,2063,1527,11
123.300,2165,1984,1480,11
124.471,2146,1935,1475,11
125.499,2157,1953,1503,11
126.643,2166,1984,1523,11
127.684,2148,1970,1511,11
128.856,2104,1991,1476,11
129.954,2102,2017,1475,11
131.010,2086,1999,1504,11
131.031,2075,1984,1530,11
131.962,2058,1996,1523,11
133.144,2062,2019,1498,11
134.429,2040,2015,1490,11
135.437,2024,2005,1503,11
136.950,2044,2016,1544,11
137.588,2054,2015,1540,11
138.915,2042,1974,1493,11
139.827,1999,1991,1479,11
139.847,2019,2019,1504,11
140.935,2078,2032,1510,11
142.181,2088,1987,1517,11
143.361,2078,2021,1501,11
144.295,2090,2093,1487,11
145.609,2071,2083,1484,11
146.792,2012,2022,1513,11
148.083,2012,2044,1543,11
149.127,2098,2073,1522,11
149.166,2127,2076,1485,11
150.368,2097,2063,1475,11
151.579,2123,2086,1505,11
152.585,2221,2115,1544,11
153.748,2213,2074,1528,11
155.004,2133,2046,1498,11
155.978,2151,2092,1490,11
156.965,2185,2104,1513,11
158.071,2164,2104,1554,11
158.106,2167,2099,1566,11
158.946,2212,2160,1541,11
159.887,2260,2162,1507,11
160.758,2263,2132,1532,11
161.381,2285,2145,1592,12
162.807,2318,2142,1620,12
163.805,2331,2112,1587,12
164.869,2342,2120,1546,12
165.812,2427,2176,1563,11
165.877,2398,2103,1606,12
167.659,2374,2075,1645,12
168.961,2373,2081,1617,12
169.045,2371,2101,1562,12
170.124,2345,2102,1556,12
171.313,2335,2074,1612,12
172.432,2322,2066,1652,12
173.558,2292,2087,1619,12
173.745,2257,2099,1575,12
