Time,92W,92X,92Y,92Z
0.070,2041,2112,1810,14
0.749,2062,2098,1812,13
1.246,2063,2063,1800,13
2.031,2082,2066,1779,13
2.059,2116,2087,1778,14
2.678,2091,2081,1759,13
3.629,2050,2060,1740,13
4.130,2096,2062,1729,13
4.866,2152,2069,1731,13
5.555,2114,2070,1728,13
6.575,2055,2051,1701,13
7.201,1993,2048,1575,12
8.056,2071,2060,1594,12
8.069,2143,2045,1708,13
8.878,2163,2041,1703,13
9.667,2198,2029,1669,13
10.335,2182,2008,1594,12
11.182,2147,2003,1567,12
11.987,2167,2010,1631,12
12.835,2208,1999,1671,13
13.509,2174,1986,1666,13
14.412,2177,1978,1640,12
14.482,2203,2005,1678,12
15.242,2196,2004,1713,13
15.884,2139,2029,1720,13
16.559,2127,2054,1765,13
17.374,2137,2069,1847,13
18.157,2138,2085,1943,13
19.714,2120,2091,1939,14
19.744,2071,2113,1913,14
20.572,1998,2134,1927,14
20.590,2027,2162,2002,14
21.316,2013,2159,2076,14
22.252,2021,2172,2056,15
23.040,2034,2167,2026,15
24.033,2010,2159,2032,15
24.893,2000,2168,2001,15
25.711,1929,2170,2004,15
26.521,1917,2150,2003,15
27.408,1916,2128,1991,15
27.413,1907,2144,1981,15
28.324,1891,2139,1945,15
29.130,1840,2133,1924,14
29.975,1778,2146,1928,15
30.880,1805,2151,1992,15
31.535,1825,2115,2007,15
32.344,1879,2083,1894,14
33.218,1877,2094,1822,14
33.988,1850,2059,1824,14
34.006,1797,2060,1869,14
34.835,1836,2071,1895,14
35.770,1936,2069,1871,14
36.119,2014,2007,1879,14
37.088,2021,1971,1796,14
37.948,1954,2040,1745,14
38.619,2000,2071,1833,14
39.475,2059,2010,1930,14
40.288,2055,1912,1877,14
40.308,1963,1953,1657,13
41.056,1950,1998,1578,13
41.987,2067,1977,1770,13
42.614,2029,1917,1804,13
43.464,1968,1943,1655,13
44.538,1960,2027,1449,12
45.311,2113,2001,1629,13
45.983,2172,1938,1742,13
47.981,2132,1860,1591,12
48.009,2095,1887,1375,11
48.093,2109,1920,1326,11
48.436,2032,1898,1606,12
49.373,2014,1913,1631,12
50.358,2082,1928,1564,11
51.960,2104,1945,1685,11
51.913,2072,1958,1786,12
52.587,2033,1983,1864,14
53.482,2009,1978,1877,13
53.546,2018,1989,1812,13
54.416,2040,1997,1826,13
55.283,2043,1993,1907,13
56.130,2016,2003,1939,14
56.768,1992,1994,1889,14
57.606,1960,1992,1792,13
58.547,1979,1984,1836,13
59.315,2008,1972,1814,13
60.129,1982,1971,1823,14
60.375,1924,1980,1786,14
60.956,1894,1986,1683,13
62.293,1970,1987,1800,13
63.038,2045,1977,1831,13
63.466,2027,1966,1808,14
64.152,1932,1970,1677,14
64.978,1935,1968,1615,13
65.794,1973,1949,1683,12
66.729,1975,1922,1713,13
66.765,2031,1930,1706,14
67.554,2030,1938,1571,13
68.293,2007,1932,1544,12
69.124,1986,1920,1684,12
69.863,2010,1924,1709,12
70.558,2054,1923,1703,13
71.414,2049,1922,1611,13
71.784,2031,1911,1581,12
72.613,2091,1916,1676,12
72.694,2130,1932,1715,12
73.398,2087,1927,1668,13
74.091,2085,1927,1682,13
74.817,2140,1964,1661,12
75.481,2181,1941,1780,12
76.239,2174,1911,1739,13
77.046,2182,1943,1570,13
77.752,2184,1965,1658,13
78.577,2150,2001,1826,13
79.508,2155,2039,1909,13
80.073,2116,2046,1836,13
80.087,2128,2074,1797,14
80.736,2128,2081,1802,13
81.554,2144,2075,1851,14
83.385,2154,2093,1921,14
83.445,2149,2117,1922,14
84.291,2143,2109,1893,14
85.058,2177,2118,1908,14
85.101,2160,2111,1854,14
85.972,2107,2134,1834,14
86.835,2143,2145,1916,14
87.651,2163,2124,2014,14
88.435,2114,2117,1993,14
89.365,2148,2135,1879,14
90.230,2178,2137,1800,14
91.123,2114,2099,1843,14
91.914,2054,2127,1943,14
91.935,2032,2120,1896,14
92.769,2046,2145,1897,14
93.575,2050,2148,1952,14
94.491,2067,2149,1961,14
95.219,2005,2143,1956,14
96.050,1991,2158,1860,14
96.980,1977,2151,1858,14
97.795,1934,2119,1887,14
98.390,2074,2255,2036,14
98.436,2001,2121,1883,14
99.157,2026,2118,1809,14
99.830,2005,2109,1892,14
101.480,1920,2122,1904,14
101.503,1907,2127,1861,14
102.569,2029,2118,1872,14
103.010,2047,2089,1864,14
104.008,1982,2088,1763,14
104.666,2016,2192,1812,13
104.771,1957,2100,1848,14
105.509,1967,2078,1905,14
106.414,2020,2061,1836,14
107.209,2067,2053,1718,14
107.800,2043,2064,1712,13
108.802,1949,2053,1778,13
109.467,1910,2046,1858,14
110.315,2020,2035,1747,14
110.976,2144,2109,1708,13
111.003,2052,2063,1729,13
111.749,1979,2056,1784,13
112.607,1956,2040,1772,13
113.250,2024,2023,1631,13
114.197,2051,2017,1515,13
115.034,1992,2014,1481,12
116.122,1915,2004,1606,12
116.665,1908,1988,1717,12
116.673,2007,2009,1691,13
117.695,2072,2024,1696,13
118.432,2075,2020,1723,12
119.346,2056,2022,1779,13
120.173,2023,2041,1800,13
121.071,2011,2044,1790,13
122.009,2039,2041,1786,13
122.715,2056,2041,1775,13
123.482,2064,2036,1821,13
123.506,2070,2052,1848,13
124.238,2059,2058,1804,14
125.076,2043,2055,1759,13
125.948,2009,2041,1763,13
126.821,2048,2038,1815,13
127.700,2086,2041,1780,13
