Time,92W,92X,92Y,92Z
0.492,2112,2044,1756,13
1.247,2071,2037,1762,14
1.914,2046,2037,1687,13
1.933,2026,2048,1651,13
2.707,2013,2052,1677,12
3.870,2046,2049,1709,13
5.663,2020,2053,1755,13
5.663,1960,2043,1673,13
6.341,1992,2050,1618,13
7.159,1980,2031,1667,12
8.098,1933,2009,1683,12
9.091,1952,1987,1696,13
9.057,2021,1984,1643,13
10.111,2030,1982,1704,13
11.100,2049,2002,1782,12
12.673,2105,2007,1849,13
12.976,2131,2022,1887,14
13.986,1994,2021,1784,13
16.122,1975,2046,1842,13
16.149,2035,2043,1924,13
17.388,2095,2004,1973,14
17.409,2172,1996,2019,14
17.478,2204,2016,1884,14
18.372,2126,2026,1875,14
19.286,2046,2048,1960,14
20.214,2089,2018,2019,14
21.309,2192,1972,1915,14
22.131,2245,2021,1613,14
23.250,2192,2047,1683,13
24.342,2051,2014,1912,13
24.628,2030,2009,1974,14
25.458,2078,2014,1817,14
27.111,2200,2039,1580,13
27.664,2175,2030,1624,13
28.816,2100,2000,1762,13
29.782,2132,2015,1772,13
30.894,2183,2022,1662,13
32.063,2230,2019,1599,13
33.350,2176,2013,1671,13
33.393,2175,2040,1683,12
34.847,2141,2031,1687,13
35.919,2139,2031,1770,13
37.034,2119,2042,1802,13
38.105,2127,2044,1775,13
39.302,2177,2007,1661,13
40.070,2114,2005,1513,12
41.334,1999,2019,1608,12
42.442,1968,2050,1767,13
42.490,1983,2080,1887,13
43.260,2032,2066,1934,13
44.341,2004,2088,1878,13
45.364,2032,2124,1812,13
46.875,1982,2078,1851,14
47.833,1904,2089,1884,14
48.426,1881,2084,1902,14
49.458,1907,2044,1925,14
50.455,1924,2044,1906,14
50.551,1869,2120,1918,14
51.585,1917,2145,1959,14
54.982,1919,2149,2021,14
54.046,1979,2161,2076,15
55.094,1966,2190,2104,15
55.445,1983,2212,2083,15
56.940,1923,2197,1999,15
57.643,1920,2213,1912,15
58.949,1955,2223,1942,15
59.710,1991,2226,2001,15
59.941,1956,2202,2019,15
60.936,1973,2218,1905,15
62.140,2007,2193,1848,14
63.342,2055,2144,1890,14
64.444,2037,2160,1927,14
65.446,2026,2148,1916,14
66.704,2049,2107,1878,14
67.722,2145,2110,1897,14
67.775,2099,2120,1852,14
68.882,2069,2101,1787,14
70.060,2047,2112,1833,14
71.228,2139,2146,1907,14
72.403,2099,2072,1938,14
73.439,2114,2020,1842,14
74.331,1979,2077,1670,13
75.320,1948,2076,1675,13
76.449,1999,2031,1905,14
76.485,2040,1996,1946,14
77.696,2008,2047,1739,13
78.855,1950,2053,1607,13
81.281,1954,1986,1801,13
81.308,1824,1974,1848,13
82.287,1895,2047,1700,13
83.332,1860,2000,1725,13
85.027,1852,1978,1784,13
87.221,1753,2031,1817,13
87.284,1799,2074,1693,13
87.611,1755,2052,1692,13
87.811,1772,2043,1839,13
89.024,1727,2054,1854,13
90.145,1733,2054,1776,13
91.264,1738,2048,1745,13
92.399,1738,2039,1764,13
93.749,1766,2043,1846,13
94.852,1825,2058,1931,14
94.975,1825,2021,1901,14
95.581,1849,2031,1876,14
96.733,1835,2043,1836,14
97.996,1824,2036,1879,14
98.762,1843,2017,1930,14
99.801,1897,2029,1967,14
100.951,1894,2008,1974,14
101.933,1911,1975,1901,14
103.043,1958,1983,1956,14
103.626,1988,1993,1809,14
103.991,1968,2037,1805,14
105.073,1831,2007,1873,14
106.000,1848,2009,1932,14
107.161,2024,2099,1985,14
108.349,2012,2097,1964,14
109.575,1994,2021,1914,15
111.653,1900,2047,1819,14
113.525,1919,2192,1734,13
113.624,2102,2110,1887,14
114.096,2281,2016,1983,14
115.117,2145,2068,1776,14
115.069,2109,2172,1482,13
115.199,2224,2158,1585,13
115.792,2235,2063,1883,13
116.827,2144,2109,1791,13
117.870,2093,2150,1549,13
119.024,2206,2172,1579,13
119.044,2226,2062,1504,12
120.120,2180,2051,1593,12
121.331,1991,2056,1704,12
122.548,1993,2062,1795,13
123.636,2057,2046,1808,13
126.030,1957,2049,1760,13
126.057,1944,2070,1818,13
127.880,1964,2040,1856,13
128.048,2023,2141,1938,14
128.230,1912,2046,1814,14
129.163,1911,2064,1769,13
130.541,1909,2048,1872,13
131.379,1871,2032,1861,14
132.691,1891,2043,1834,14
134.560,1907,2058,1792,14
135.136,1920,2048,1806,14
136.252,1924,2018,1872,13
137.392,2072,2185,1926,13
137.440,1901,2063,1869,15
138.630,1938,2035,1825,14
139.714,1928,2009,1716,14
140.800,2041,1982,1723,13
142.955,2115,1982,1672,13
143.381,2169,1978,1784,14
144.810,2066,1944,1831,14
145.778,2077,1955,1746,13
146.939,2314,2124,1855,13
147.988,2241,1982,1832,13
147.647,2167,1983,1873,14
148.594,2083,1954,1859,14
149.961,2267,1969,1708,13
152.229,2367,1962,1678,13
152.315,2252,1960,1717,13
153.197,2126,1950,1825,14
154.157,2102,1957,1775,14
156.602,2423,2138,1787,13
156.665,2282,1996,1795,13
156.817,2158,2016,1825,13
157.548,2122,2029,1822,14
158.604,2155,2036,1734,14
159.708,2162,2024,1760,13
160.896,2143,2020,1834,13
162.097,2090,2008,1807,13
163.942,2074,1995,1808,14
164.418,2238,2110,1812,13
164.446,2084,2015,1753,13
165.738,2030,2010,1809,13
166.710,2047,2021,1832,13
167.883,2069,2020,1878,14
169.008,2049,2006,1754,14
170.185,1963,2006,1738,13
