Time,92W,92X,92Y,92Z
0.488,2097,2040,1510,11
1.041,2089,2027,1529,11
1.491,2097,2039,1564,11
1.503,2102,2047,1563,11
2.074,2077,2035,1539,11
2.565,2051,2030,1532,11
3.091,2040,2031,1560,11
3.774,2045,2042,1583,12
4.199,2039,2027,1596,12
4.710,2029,2021,1570,12
5.243,2026,2049,1558,12
5.776,2038,2056,1589,12
5.786,2022,2037,1624,12
6.401,2013,2027,1641,12
6.925,2020,2053,1630,12
7.507,2048,2063,1607,12
8.081,2056,2052,1614,12
8.646,2045,2025,1648,12
9.171,2017,2031,1683,12
9.779,2048,2062,1657,12
10.406,2130,2114,1635,12
10.441,2046,2069,1626,12
10.903,2030,2089,1659,12
11.536,2057,2075,1690,12
12.060,2049,2096,1687,12
12.647,2053,2133,1639,12
13.202,2100,2132,1607,12
13.775,2039,2110,1637,12
14.376,2008,2137,1697,12
14.900,2114,2200,1717,12
14.930,2144,2166,1641,12
15.463,2055,2149,1599,12
15.983,1999,2174,1646,12
16.523,2105,2197,1688,12
17.215,2194,2175,1706,12
17.682,2095,2186,1655,12
18.265,1993,2199,1585,12
18.873,2115,2196,1586,12
18.909,2235,2214,1656,12
19.396,2185,2228,1711,12
19.987,2067,2183,1663,12
20.552,2091,2177,1574,12
21.058,2176,2209,1557,12
22.260,2195,2198,1642,12
22.311,2125,2173,1731,12
22.773,2087,2173,1681,12
23.340,2157,2192,1582,12
23.355,2220,2210,1533,12
23.942,2167,2183,1635,12
24.502,2119,2196,1763,12
25.017,2126,2185,1720,12
25.580,2141,2177,1606,12
26.083,2120,2199,1554,12
26.536,2110,2218,1651,12
27.068,2105,2209,1771,12
27.582,2104,2190,1743,12
27.587,2098,2218,1636,12
28.542,2108,2213,1565,12
28.673,2114,2185,1650,12
29.216,2103,2203,1777,12
29.744,2112,2227,1746,13
30.820,2120,2223,1656,12
30.862,2109,2212,1579,12
31.900,2112,2199,1658,12
31.982,2159,2207,1770,13
32.040,2176,2203,1749,13
32.658,2147,2198,1658,12
32.954,2132,2219,1586,12
33.545,2140,2219,1655,12
34.075,2134,2174,1771,13
34.593,2121,2184,1759,13
35.186,2105,2227,1669,12
35.683,2099,2213,1591,12
36.296,2134,2212,1652,12
36.299,2128,2200,1747,13
36.780,2122,2231,1737,13
37.241,2119,2213,1671,12
37.777,2093,2192,1614,12
38.364,2082,2216,1671,12
38.812,2119,2226,1752,13
39.323,2144,2172,1748,13
39.994,2094,2169,1672,12
40.429,2152,2276,1638,12
40.487,2109,2239,1657,12
41.056,2152,2189,1732,13
41.645,2151,2188,1731,13
42.239,2090,2213,1665,12
42.784,2066,2251,1606,12
43.349,2070,2207,1645,12
43.907,2095,2204,1713,12
44.528,2090,2219,1722,13
45.052,2107,2276,1672,12
45.106,2077,2194,1618,12
45.500,2063,2205,1654,12
46.094,2053,2212,1705,12
46.540,2031,2224,1708,12
47.102,2045,2207,1662,12
47.675,2057,2208,1633,12
48.289,2047,2211,1664,12
48.646,2043,2199,1707,12
48.818,2047,2194,1706,12
49.381,2059,2193,1655,12
49.887,2037,2210,1646,12
50.471,1997,2215,1676,12
51.008,1986,2188,1718,12
51.537,2041,2175,1716,12
52.220,2038,2188,1671,12
52.697,2010,2174,1654,12
53.325,2012,2185,1686,12
53.389,2023,2199,1728,12
53.864,2045,2169,1714,12
54.374,2061,2176,1675,12
54.966,2063,2179,1660,12
55.467,2055,2183,1682,12
56.017,2067,2170,1712,12
56.802,2055,2171,1699,12
57.063,2048,2184,1661,12
57.624,2078,2177,1633,12
57.701,2082,2188,1663,12
58.324,2045,2165,1697,12
58.737,2047,2177,1684,12
59.322,2087,2193,1651,12
59.906,2087,2184,1617,12
60.442,2071,2165,1642,12
61.029,2084,2156,1673,12
61.591,2093,2164,1661,12
62.222,2091,2184,1623,12
62.270,2064,2176,1592,12
62.705,2028,2181,1607,12
63.279,2030,2174,1635,12
63.846,2062,2184,1641,12
64.467,2053,2195,1606,12
65.187,2033,2203,1575,12
65.592,2034,2199,1591,12
66.124,2043,2171,1627,12
66.654,2123,2218,1657,12
66.752,2082,2155,1609,12
67.208,2068,2177,1572,12
67.790,2084,2159,1588,12
68.345,2097,2162,1615,12
68.920,2082,2144,1629,12
69.529,2079,2147,1606,12
70.219,2095,2139,1576,12
70.833,2094,2132,1578,12
71.162,2070,2157,1607,12
71.225,2078,2160,1621,12
71.945,2128,2134,1606,12
72.328,2156,2098,1563,12
73.508,2144,2071,1565,12
73.553,2136,2103,1591,12
73.886,2151,2102,1599,12
74.502,2156,2103,1582,12
74.824,2156,2095,1535,12
74.989,2162,2107,1543,12
75.435,2156,2111,1571,12
76.052,2130,2110,1597,12
76.671,2095,2098,1570,12
77.240,2125,2082,1531,11
77.679,2176,2092,1536,11
78.525,2182,2094,1554,12
78.683,2143,2063,1578,12
79.389,2127,2060,1561,12
79.474,2192,2073,1531,11
79.744,2201,2062,1521,11
80.621,2175,2045,1548,11
80.770,2168,2058,1565,11
81.264,2221,2056,1552,11
81.930,2208,2042,1520,11
82.598,2156,2010,1510,11
83.120,2157,2023,1536,11
83.723,2211,2033,1556,11
83.792,2232,2036,1536,11
84.130,2182,2008,1515,11
84.593,2147,2013,1504,11
85.230,2166,1990,1538,11
86.001,2185,1985,1562,11
86.139,2177,1991,1527,11
86.704,2224,1980,1495,11
87.185,2255,1997,1483,11
88.411,2239,1995,1508,11
88.418,2190,1990,1545,11
88.428,2199,1980,1526,11
