Time,92W,92X,92Y,92Z
0.242,1992,2047,1679,13
0.483,2012,2049,1732,13
0.717,2043,2048,1740,13
0.978,2038,2049,1771,13
0.991,1973,2057,1770,13
1.249,1953,2034,1685,13
1.565,2083,2040,1642,12
1.814,2101,2028,1663,13
2.120,2017,2036,1727,13
2.446,1935,2030,1740,13
3.652,2012,2057,1694,13
3.659,2087,2056,1790,13
3.667,2081,2061,1837,13
3.670,2047,2064,1839,13
3.702,1982,2025,1734,13
4.309,2057,2000,1583,13
4.320,2051,2005,1585,12
4.635,2048,2006,1701,12
4.951,2083,2016,1765,13
5.239,2070,2028,1718,13
5.454,2092,2052,1716,13
5.755,2100,2055,1783,13
5.772,2062,2077,1822,13
6.087,2072,2079,1842,13
6.420,2107,2091,1830,13
6.759,2115,2075,1823,13
7.004,2079,2109,1752,13
7.340,2101,2128,1729,13
7.683,2102,2067,1819,13
8.022,2092,2062,1832,13
8.325,2048,2095,1715,13
8.330,2069,2104,1749,13
8.607,2102,2066,1784,13
8.910,2099,2081,1748,13
9.158,2087,2109,1724,13
9.815,2119,2111,1817,13
9.818,2063,2112,1855,13
10.025,2064,2131,1747,13
10.355,2092,2143,1748,13
10.619,2101,2115,1891,14
10.630,1999,2167,1916,14
10.938,2006,2180,1891,14
11.192,2074,2156,1911,14
11.475,2224,2153,1788,14
11.794,2118,2168,1646,13
12.083,1977,2131,1756,13
12.393,2040,2147,1875,13
12.695,2110,2160,1840,13
13.006,2112,2141,1748,13
13.340,2169,2152,1726,13
13.441,2159,2160,1753,13
13.630,2084,2162,1861,13
13.927,2087,2161,1901,14
14.239,2083,2158,1836,14
14.495,2089,2186,1716,13
14.820,2096,2207,1743,13
15.196,2049,2204,1918,14
15.422,1992,2184,1987,14
15.709,2001,2218,1849,14
15.730,2080,2247,1711,13
16.307,2121,2230,1816,14
16.592,2016,2179,1922,14
16.616,2012,2200,1835,14
16.835,2052,2207,1815,14
17.136,2127,2246,1884,14
17.369,2039,2186,1957,14
17.600,1987,2149,1831,14
17.883,2025,2191,1665,13
17.891,2106,2213,1718,13
18.205,2056,2202,1937,14
18.492,1984,2177,1994,14
18.834,1973,2179,1861,14
19.084,2046,2185,1708,13
19.362,2068,2159,1720,13
19.558,1999,2149,1836,13
19.896,1903,2127,1883,14
20.146,1935,2228,1799,13
20.155,1958,2200,1800,13
20.390,1978,2183,1907,14
20.715,1984,2168,1964,14
20.898,1993,2182,1867,14
21.169,1953,2167,1839,14
21.443,1916,2195,1896,14
21.755,1944,2227,1926,14
22.050,1970,2175,1974,14
22.342,2015,2200,1958,14
22.603,1987,2143,1862,14
22.621,1828,2173,1833,14
22.919,1904,2234,1863,14
23.280,1930,2171,1963,14
23.532,2032,2101,1888,14
23.825,1997,2103,1744,13
24.427,2011,2165,1720,13
24.502,1927,2150,1927,14
24.503,1952,2157,1983,14
24.893,2016,2109,1739,13
24.958,2028,2126,1706,13
25.298,1991,2106,1848,14
25.625,1973,2083,1859,14
25.943,1879,2079,1727,13
26.263,1897,2088,1634,13
26.718,1951,2029,1683,13
26.930,1949,2027,1696,13
27.038,2032,2103,1907,13
27.054,2010,2120,1830,13
27.352,2028,2071,1669,13
27.562,2005,2020,1586,12
27.886,1898,2047,1630,12
28.186,1995,2127,1764,13
28.484,2112,2109,1844,13
28.810,2064,2042,1801,13
29.070,1994,2014,1627,12
29.422,1911,2093,1584,12
29.426,1923,2045,1726,13
29.639,1975,2055,1758,13
30.227,2000,2061,1793,13
30.301,1892,2128,1696,12
30.608,1877,2113,1734,13
30.905,1940,2051,1774,13
31.235,2006,2025,1652,13
31.639,2010,2015,1603,12
31.910,2088,2147,1817,12
31.926,2029,2079,1884,13
32.242,2054,2048,1796,14
32.587,2040,2049,1617,13
32.855,2005,2061,1650,13
33.194,2012,2069,1909,13
33.488,1981,2040,1949,13
33.788,1970,2010,1717,14
34.097,1968,2039,1451,13
34.455,2104,2142,1596,12
34.474,2047,2060,1795,12
34.789,2072,2071,1829,13
35.023,1992,2047,1776,14
35.367,2009,2041,1627,13
35.682,2060,2055,1624,13
36.319,2054,2059,1838,13
36.328,2089,2051,1863,13
36.602,2008,2032,1737,14
36.917,2106,2114,1662,13
36.917,2072,2039,1579,12
37.202,2065,2048,1743,12
37.517,2042,2048,1768,13
37.843,2016,2051,1691,13
38.168,1967,2051,1673,13
38.468,2004,2059,1721,13
38.772,2021,2048,1781,13
39.140,2055,2034,1741,13
39.416,2121,2102,1729,13
39.421,1951,2039,1675,13
39.605,2017,2039,1710,13
39.886,2058,2021,1773,13
40.192,2120,2016,1784,13
40.367,2190,2016,1797,13
40.553,2091,1989,1714,13
40.816,2027,1978,1612,13
41.277,2071,1977,1650,12
41.308,2180,2028,1750,12
41.319,2188,1991,1733,13
41.884,2125,2001,1709,13
42.198,2028,2012,1703,13
42.463,2025,2013,1748,13
42.481,2130,2001,1770,13
42.741,2160,2002,1719,13
43.063,2119,2020,1649,13
43.533,2062,2003,1731,13
43.540,2095,2017,1837,13
43.552,2122,2038,1771,13
43.758,2080,2048,1719,13
44.000,2090,2036,1677,13
44.256,2135,2041,1768,13
44.551,2117,2068,1843,13
44.914,2063,2088,1817,13
45.122,2051,2080,1826,13
45.440,2084,2046,1774,13
45.500,2074,2082,1690,13
45.828,2063,2096,1730,13
45.974,2054,2094,1902,13
46.238,2055,2098,1941,14
46.592,2063,2135,1840,14
