Time,92W,92X,92Y,92Z
0.494,2106,2166,1817,13
1.126,2100,2156,1803,13
1.785,2133,2172,1701,13
2.401,2120,2164,1701,13
2.972,2102,2146,1804,13
3.473,2119,2143,1801,13
4.998,2164,2146,1770,13
4.639,2143,2143,1753,13
4.659,2143,2165,1756,13
5.175,2133,2167,1814,13
5.808,2119,2167,1871,13
6.342,2171,2158,1871,14
6.918,2123,2151,1847,14
7.214,2138,2175,1843,14
7.803,2102,2174,1888,14
8.451,2052,2158,1920,14
9.090,2092,2206,1916,14
9.069,2069,2181,1895,14
9.704,2042,2182,1903,14
10.367,2046,2197,1927,14
11.008,2024,2213,1935,14
11.640,2036,2220,1977,14
12.262,2007,2179,2041,15
12.854,2020,2184,1929,14
13.475,2045,2186,1837,14
14.064,2133,2308,2039,14
14.077,2017,2127,1946,14
14.655,2007,2128,1905,14
15.293,2005,2158,1827,14
15.868,2005,2136,1862,14
16.541,1981,2092,1951,14
17.137,1994,2091,1925,14
17.797,2030,2134,1799,14
18.418,2010,2120,1830,14
19.012,2009,2102,1935,14
19.030,1907,2063,1771,14
19.403,1989,2135,1663,13
20.816,2042,2125,1779,13
21.230,1931,2092,1813,14
21.249,1776,2083,1650,13
21.979,1853,2118,1486,12
22.449,2011,2103,1621,12
23.990,1976,2040,1660,13
23.723,1967,2039,1576,13
23.736,1989,2051,1503,12
24.324,1992,2026,1414,11
24.965,2001,1989,1431,11
25.663,1995,1955,1453,11
26.233,2046,1983,1465,12
26.862,2075,2009,1557,12
27.387,2025,2008,1590,11
27.989,2085,2027,1623,12
28.006,2143,2045,1608,12
28.545,2106,2048,1625,12
29.052,1994,2048,1664,12
29.633,2026,2080,1655,12
30.107,2108,2100,1736,12
30.722,2196,2077,1798,13
31.482,2124,2044,1764,13
31.982,2123,2063,1687,13
32.526,2093,2073,1771,13
32.544,2144,2095,1907,13
33.135,2174,2068,1988,14
33.651,2179,2084,1908,14
34.184,2206,2103,1871,14
34.750,2182,2099,1948,14
35.289,2190,2138,2022,14
35.717,2097,2117,2043,15
36.103,2086,2137,1980,15
36.681,2132,2167,1971,15
36.785,2113,2163,2056,15
37.296,2114,2107,2022,15
37.779,2029,2142,1881,15
38.180,2039,2171,1889,15
38.752,1947,2172,1970,14
39.358,1943,2166,2013,15
40.593,1954,2147,1994,15
40.593,1960,2102,1917,14
40.948,2064,2264,1895,14
40.956,1982,2165,1857,14
41.533,1859,2111,1955,14
42.116,1830,2109,1911,14
42.655,1899,2111,1786,14
43.148,1956,2147,1767,14
43.798,1941,2091,1873,14
44.412,1958,2100,1889,14
44.984,1946,2097,1938,14
45.652,1997,2186,2015,14
45.670,1909,2059,1972,14
46.249,2006,2055,1847,14
46.870,1957,2085,1839,14
47.511,1956,2061,2025,14
48.098,1897,2013,2032,14
49.337,1941,1978,1814,14
49.581,2032,1998,1662,14
50.015,2016,1963,1672,13
50.650,1974,2031,1861,13
50.668,1985,1894,1684,13
51.905,2171,1939,1509,13
51.913,2154,1949,1563,13
52.536,2078,1950,1673,13
53.150,2052,1985,1623,12
53.725,2227,1971,1438,12
54.389,2214,1925,1448,12
54.994,2195,1910,1568,12
55.620,2195,2009,1690,12
55.635,2118,2039,1684,12
56.210,2106,2030,1683,12
56.805,2103,1994,1577,12
57.438,2029,1965,1555,13
58.071,2004,1975,1732,13
58.625,1913,1987,1760,12
59.276,1948,1967,1792,12
59.860,1983,1955,1832,13
60.525,1968,1967,1809,14
60.685,2009,1953,1794,13
61.108,1981,1945,1722,13
61.741,1922,1941,1726,13
62.319,2008,1921,1786,13
62.899,2057,1895,1743,14
63.559,2038,1856,1715,13
64.208,2028,1870,1614,12
64.845,2042,1894,1600,12
64.873,2134,1888,1675,13
65.480,2194,1862,1733,13
66.104,2204,1862,1674,13
66.724,2216,1911,1560,12
67.310,2182,1898,1712,12
67.950,2182,1883,1680,13
68.640,2158,1897,1565,13
69.297,2203,1899,1607,12
69.889,2141,1903,1697,12
69.912,2165,1936,1723,12
70.542,2186,1945,1730,13
71.147,2207,1959,1678,13
71.793,2101,1931,1680,13
72.455,2082,1927,1642,12
73.047,2197,1921,1784,13
73.837,2284,1925,1767,13
74.417,2203,1968,1710,13
75.056,2180,1999,1818,13
75.090,2180,2003,1910,13
75.736,2230,2022,1864,13
76.397,2307,2088,1870,14
77.101,2262,2092,1949,14
77.761,2127,2083,1950,14
78.350,2113,2100,1961,14
79.060,2164,2114,1898,14
79.638,2216,2123,1863,14
80.223,2203,2098,1917,14
80.607,2155,2101,1912,14
80.760,2064,2145,1879,14
81.268,2024,2144,1964,14
81.838,2073,2143,1955,14
82.401,2152,2125,1919,14
83.018,2150,2138,1865,14
83.684,2135,2139,1862,14
84.196,2002,2146,1910,14
84.819,1935,2186,1959,14
85.515,1981,2169,1926,14
85.983,2082,2159,1855,14
86.001,2109,2151,1817,14
86.627,2034,2171,1827,14
87.210,1936,2184,1843,14
87.709,1941,2168,1895,14
88.349,2033,2136,1877,14
88.878,2080,2131,1799,14
89.479,2110,2227,1914,14
89.506,2015,2137,1885,14
90.053,2015,2104,1910,14
90.605,1975,2098,1833,14
91.180,2050,2148,1785,14
91.712,2034,2137,1872,14
92.311,1975,2092,1919,14
92.910,1985,2084,1793,14
93.568,2015,2089,1672,13
94.392,2043,2209,1750,13
94.567,1896,2140,1781,13
94.904,1927,2123,1843,13
95.387,1994,2111,1744,13
