Time,92W,92X,92Y,92Z
5.638,2135,1997,1581,12
5.703,2113,2002,1571,12
5.727,2110,1995,1551,11
5.746,2099,2007,1526,11
5.788,2080,1986,1547,11
5.825,2069,1943,1575,12
5.857,2043,1970,1561,12
6.575,2050,2028,1516,11
11.043,2069,2022,1493,11
11.324,2043,1989,1529,11
11.793,1984,1978,1567,11
12.626,2000,1996,1562,11
14.553,2023,1966,1535,11
14.947,1989,1938,1495,11
16.517,1969,1966,1515,11
16.622,1982,2048,1528,11
17.554,2050,2057,1548,11
19.078,2052,2000,1553,11
20.524,1988,2020,1552,11
22.188,1972,2083,1539,11
23.719,2077,2088,1599,12
24.660,2020,1985,1651,12
26.341,1896,2023,1616,12
27.237,1968,2150,1555,12
27.808,2117,2192,1569,12
28.957,2017,2046,1654,12
30.004,1858,2102,1733,12
31.333,1986,2221,1730,12
32.777,2147,2203,1690,12
34.447,2083,2087,1652,12
35.667,2086,2102,1718,12
37.049,2336,2218,1816,13
38.311,2600,2317,1880,13
38.338,2368,2120,1767,13
39.663,2238,2059,1685,13
42.584,2370,2118,1743,13
42.739,2467,2167,1868,13
43.964,2421,2096,1892,13
44.854,2332,2050,1752,13
49.431,2339,2067,1639,13
49.468,2356,2090,1699,13
49.517,2375,2128,1835,13
51.234,2315,2083,1854,13
53.666,2279,2090,1732,13
53.344,2251,2095,1609,13
53.741,2220,2104,1674,13
54.847,2225,2102,1809,13
56.320,2240,2125,1859,13
57.492,2268,2133,1744,13
60.243,2220,2137,1618,13
60.319,2190,2177,1672,13
60.416,2202,2200,1796,13
61.445,2201,2144,1875,13
63.949,2123,2128,1746,13
64.839,2097,2217,1614,13
65.493,2171,2182,1629,12
66.792,2214,2138,1760,13
68.458,2086,2168,1830,13
69.651,2030,2223,1715,13
69.698,2101,2153,1545,12
70.741,2038,2069,1542,12
72.901,1972,2122,1650,12
73.790,2024,2175,1753,13
74.196,2063,2101,1659,12
77.840,1992,2065,1507,12
77.213,1979,2096,1506,12
79.013,2007,2157,1628,12
79.333,2040,2186,1759,12
79.412,2054,2158,1693,12
80.416,2033,2135,1560,12
81.680,2060,2154,1541,12
83.051,2081,2174,1660,12
84.472,2095,2136,1798,13
85.654,2095,2152,1710,12
86.333,2095,2166,1571,12
87.100,2135,2163,1538,12
88.259,2158,2182,1650,12
88.285,2202,2211,1767,12
88.712,2250,2221,1690,12
89.880,2268,2229,1572,12
90.288,2266,2231,1537,12
92.217,2255,2208,1649,12
92.283,2292,2204,1776,12
93.445,2296,2221,1719,12
94.833,2249,2210,1594,12
94.856,2219,2188,1551,12
94.874,2185,2205,1659,12
96.242,2162,2215,1767,12
97.028,2154,2188,1709,12
97.350,2061,2141,1609,12
98.392,2022,2153,1561,12
98.963,1996,2206,1642,12
99.668,1992,2159,1736,12
106.111,1963,2104,1698,12
106.208,1949,2204,1615,12
106.325,1891,2163,1548,12
106.298,1907,2157,1635,12
106.462,1924,2139,1725,12
106.534,1952,2133,1680,12
107.257,1997,2162,1586,12
109.345,2017,2170,1547,12
111.868,2031,2159,1624,12
115.513,2072,2172,1695,12
115.517,2132,2202,1674,12
115.519,2070,2161,1582,12
115.524,2048,2177,1527,12
115.523,2121,2213,1591,12
120.172,2164,2210,1676,12
120.689,2134,2173,1668,12
121.943,2100,2182,1577,12
121.190,2114,2173,1518,12
121.948,2154,2165,1582,12
122.513,2188,2155,1664,12
123.443,2200,2152,1644,12
124.752,2196,2156,1559,12
127.480,2184,2161,1505,11
127.450,2198,2202,1565,12
129.628,2220,2212,1647,12
130.099,2188,2199,1657,12
131.174,2122,2144,1592,12
132.785,2127,2120,1560,12
132.803,2176,2135,1611,12
133.803,2171,2159,1680,12
135.342,2115,2169,1683,12
136.521,2090,2183,1632,12
137.734,2044,2157,1609,12
139.602,1996,2116,1650,12
140.549,2012,2124,1705,12
142.859,2056,2180,1692,12
143.950,2038,2191,1611,12
143.079,2015,2112,1588,12
144.497,2028,2128,1611,12
145.910,2081,2169,1656,12
147.449,2077,2146,1631,12
148.711,2040,2086,1576,12
150.125,2044,2086,1532,12
151.512,2076,2116,1554,12
152.918,2085,2061,1600,12
154.303,2067,2059,1590,12
154.332,2067,2064,1535,12
155.752,2089,2075,1494,11
157.155,2060,2068,1513,11
160.083,2035,2054,1566,12
160.217,2034,2096,1562,12
163.946,1989,2080,1501,11
163.987,1942,2057,1473,11
164.673,1969,2055,1486,11
165.876,2051,2142,1553,11
165.911,2032,2112,1560,11
167.380,1998,2096,1523,11
168.521,1975,2115,1499,11
169.788,2029,2121,1528,11
171.221,2058,2115,1571,11
172.539,2032,2088,1600,12
174.054,2010,2079,1558,11
175.415,2012,2108,1512,11
178.529,2054,2127,1532,11
178.563,2073,2128,1603,12
178.584,2087,2101,1623,12
179.730,2154,2104,1584,12
181.885,2157,2135,1543,12
182.942,2128,2080,1564,12
188.686,2114,2070,1615,12
188.686,2177,2087,1644,12
188.173,2229,2085,1608,12
188.299,2235,2095,1545,12
188.299,2206,2076,1552,12
207.509,2265,2071,1610,12
207.692,2353,2106,1639,12
207.706,2343,2084,1604,12
207.718,2267,2051,1543,12
207.737,2250,2038,1542,12
207.753,2299,2066,1594,12
207.772,2293,2046,1625,12
207.781,2248,2018,1591,12
207.791,2255,2036,1518,12
207.803,2274,2056,1491,11
207.812,2241,2055,1544,12
207.822,2201,2051,1600,12
207.846,2193,2064,1566,12
207.856,2218,2061,1499,11
207.867,2228,2071,1463,11
207.880,2219,2048,1508,11
207.899,2210,2045,1562,11
208.486,2220,2052,1519,11
