Time,92W,92X,92Y,92Z
1.264,2132,2092,1609,12
1.282,2103,2112,1592,12
1.965,2057,2052,1540,12
3.349,2053,1995,1540,12
4.760,2111,2044,1579,12
5.051,2131,2094,1607,12
6.942,2146,2059,1559,12
6.546,2115,2027,1506,11
7.589,2122,2064,1504,11
7.603,2220,2140,1550,12
8.557,2248,2091,1577,12
9.547,2151,2062,1556,12
10.408,2108,2133,1519,11
11.487,2224,2150,1497,11
12.541,2308,2103,1545,11
13.292,2143,2092,1606,12
14.335,2063,2108,1608,12
15.056,2140,2167,1553,12
15.090,2249,2138,1528,11
15.961,2187,2138,1580,12
17.072,2115,2143,1649,12
17.889,2145,2160,1651,12
18.933,2181,2152,1604,12
19.876,2155,2144,1567,12
20.849,2151,2154,1617,12
22.087,2159,2149,1686,12
22.983,2176,2177,1683,12
23.003,2173,2149,1646,12
23.818,2147,2127,1598,12
24.843,2144,2147,1641,12
26.182,2176,2154,1700,12
27.019,2195,2132,1707,12
28.113,2191,2126,1645,12
28.983,2175,2158,1579,12
30.078,2168,2162,1614,12
31.137,2236,2215,1688,12
31.154,2194,2183,1692,12
32.189,2198,2174,1639,12
33.372,2229,2172,1581,12
34.493,2226,2159,1618,12
35.677,2208,2163,1673,12
36.755,2216,2160,1695,12
37.863,2242,2156,1649,12
39.107,2209,2158,1593,12
40.266,2213,2155,1603,12
40.300,2224,2168,1656,12
41.462,2276,2164,1676,12
42.666,2248,2138,1615,12
44.218,2199,2122,1563,12
45.100,2165,2133,1576,12
46.285,2184,2144,1634,12
47.524,2180,2142,1663,12
48.563,2143,2124,1612,12
48.680,2131,2104,1565,12
49.802,2127,2119,1582,12
50.946,2148,2109,1635,12
51.892,2155,2086,1642,12
53.999,2143,2124,1591,12
54.168,2135,2151,1551,12
55.063,2126,2192,1576,12
56.162,2093,2182,1618,12
56.491,2071,2118,1656,12
56.946,2078,2136,1629,12
58.015,2087,2157,1591,12
59.980,2046,2157,1611,12
60.090,2022,2126,1663,12
61.065,2023,2148,1674,12
62.129,2044,2134,1651,12
63.250,2038,2154,1614,12
64.795,2019,2144,1634,12
66.156,2046,2144,1672,12
66.156,2098,2160,1681,12
66.156,2097,2158,1654,12
67.168,2072,2151,1624,12
68.284,2105,2136,1640,12
69.403,2138,2132,1671,12
70.539,2127,2123,1683,12
71.626,2132,2135,1645,12
72.787,2141,2131,1605,12
73.867,2214,2193,1627,12
73.886,2146,2106,1645,12
74.891,2169,2104,1658,12
75.903,2164,2113,1625,12
76.819,2141,2143,1580,12
77.803,2136,2128,1590,12
78.932,2159,2115,1626,12
79.748,2167,2092,1650,12
80.869,2147,2083,1615,12
81.863,2211,2149,1589,12
81.242,2203,2147,1595,12
82.812,2170,2130,1638,12
83.924,2162,2102,1663,12
84.697,2164,2095,1640,12
85.664,2175,2086,1612,12
86.477,2143,2073,1608,12
87.557,2103,2063,1637,12
88.600,2131,2061,1664,12
88.626,2161,2072,1631,12
89.764,2156,2033,1581,12
90.833,2104,2026,1598,12
92.007,2128,2082,1629,12
93.220,2177,2156,1631,12
94.330,2203,2168,1611,12
95.571,2170,2144,1585,12
96.451,2098,2124,1596,12
97.675,2083,2086,1610,12
97.702,2144,2080,1624,12
98.692,2189,2049,1583,12
99.856,2155,2039,1543,12
100.923,2112,2044,1558,12
102.017,2125,2063,1563,12
103.112,2163,2024,1578,12
104.222,2159,2026,1546,12
105.279,2144,2028,1522,12
106.294,2149,2042,1516,11
106.317,2124,2049,1546,11
107.460,2107,2049,1572,12
108.542,2131,2073,1550,12
109.645,2131,2056,1519,11
110.753,2102,2046,1524,11
111.741,2057,2071,1562,11
112.945,2072,2073,1578,12
114.044,2088,2053,1560,11
115.148,2092,2052,1539,11
115.185,2043,2079,1537,12
116.156,2058,2109,1568,12
117.339,2054,2101,1587,12
118.474,2045,2039,1580,12
119.708,2058,2048,1558,12
120.751,2096,2087,1545,12
121.970,2086,2074,1564,12
122.922,2008,2043,1584,12
124.041,2061,2051,1582,12
124.085,2202,2068,1554,12
125.977,2211,2059,1532,12
126.293,2091,2038,1548,11
127.559,2056,2036,1581,12
128.224,2122,2074,1575,12
129.101,2136,2062,1552,12
130.009,2086,2085,1529,11
131.150,2100,2116,1531,11
131.165,2160,2137,1588,12
132.219,2122,2151,1610,12
133.315,2070,2137,1583,12
134.446,2096,2140,1560,12
135.569,2211,2154,1565,12
136.703,2248,2135,1610,12
137.937,2184,2119,1645,12
140.100,2170,2086,1616,12
140.025,2227,2079,1565,12
140.025,2269,2092,1553,12
141.199,2238,2111,1591,12
142.273,2182,2093,1636,12
143.290,2195,2068,1614,12
144.327,2255,2095,1560,12
145.425,2266,2119,1539,12
146.471,2237,2107,1584,12
148.153,2210,2086,1638,12
148.638,2264,2100,1630,12
148.617,2293,2119,1567,12
149.406,2271,2088,1532,12
150.542,2243,2078,1574,12
151.608,2250,2094,1647,12
152.819,2285,2117,1648,12
153.770,2253,2086,1574,12
154.913,2240,2072,1527,12
155.834,2243,2106,1582,12
156.901,2259,2103,1652,12
156.920,2254,2089,1649,12
157.896,2242,2101,1581,12
158.906,2250,2114,1536,12
160.952,2255,2116,1583,12
161.433,2258,2105,1648,12
162.060,2235,2122,1654,12
162.831,2236,2127,1594,12
163.961,2233,2117,1542,12
164.977,2283,2142,1593,12
165.011,2243,2121,1652,12
166.011,2259,2123,1659,12
167.034,2244,2101,1600,12
