Time,92W,92X,92Y,92Z
3.905,2116,2116,1769,13
3.286,2116,2113,1841,13
3.307,2125,2122,1920,14
5.017,2098,2116,1822,14
6.550,2092,2113,1787,14
7.338,2095,2091,1788,13
8.322,2090,2087,1832,13
9.883,2106,2142,1897,14
9.892,2076,2108,1834,14
12.911,2086,2093,1824,14
14.309,2080,2083,1761,13
14.334,2039,2076,1855,14
14.423,2016,2082,1967,14
15.375,2021,2072,1904,15
16.615,2024,2058,1791,14
18.249,2028,2053,1707,13
19.705,2046,2070,1811,13
19.876,1952,2053,1803,14
20.246,1911,2048,1785,14
21.575,1988,2057,1755,14
24.045,2067,2047,1698,13
24.062,2023,2011,1824,13
25.407,1923,2031,1790,13
26.880,1942,2039,1748,14
28.444,2042,2001,1765,14
28.340,2195,2000,1666,13
29.292,2152,2044,1757,13
30.474,1961,2050,1797,13
31.723,2082,2052,1866,14
32.859,2204,2032,1866,14
34.054,2231,2032,1649,13
41.433,2172,2037,1717,13
41.510,2085,2022,1776,13
41.514,2036,2009,1802,14
41.470,2136,2035,1798,14
41.999,2161,2050,1696,13
41.810,2091,2063,1897,13
52.294,2027,2057,1884,14
52.303,2074,2046,1865,14
52.319,2183,2036,1803,14
52.346,2223,2047,1683,13
52.549,2135,2025,1837,13
52.365,1997,2003,1848,14
52.368,2086,2031,1822,14
52.336,2221,2039,1723,14
52.393,2245,2049,1613,13
52.831,2187,2046,1753,13
56.151,2141,2046,1847,13
56.486,2210,2054,1869,14
58.583,2209,2048,1789,14
58.601,2190,2051,1627,13
58.870,2153,2061,1755,13
58.885,2179,2081,1846,13
60.293,2196,2065,1925,14
61.876,2099,2070,1838,14
62.675,2072,2075,1645,13
64.693,2158,2071,1770,13
65.098,2151,2077,1855,13
66.220,2111,2063,1877,14
67.855,2059,2069,1735,14
69.598,2069,2070,1576,13
69.385,2163,2101,1761,13
73.137,2160,2088,1851,13
73.558,2095,2087,1822,14
73.465,2075,2093,1639,13
73.639,2094,2103,1521,12
78.031,2087,2104,1693,12
78.106,2061,2092,1731,13
78.106,2074,2071,1793,13
78.721,2088,2085,1716,13
78.736,2119,2105,1567,12
79.723,2135,2105,1685,12
85.452,2137,2114,1728,13
85.974,2120,2098,1782,13
85.868,2107,2102,1720,13
85.689,2107,2113,1660,13
85.988,2111,2077,1774,12
89.958,2120,2106,1773,13
90.490,2087,2096,1769,13
90.077,2090,2112,1694,13
90.659,2111,2099,1683,13
91.514,2059,2104,1793,13
91.532,2093,2143,1842,13
94.364,2072,2133,1911,14
94.346,2035,2141,1837,14
98.132,1975,2164,1732,13
98.179,2042,2143,1849,13
98.194,2064,2139,1943,14
98.227,1997,2155,1848,14
99.321,2011,2146,1855,14
100.529,2048,2146,1948,14
102.052,2112,2156,2024,14
104.241,2031,2216,1935,14
110.422,1936,2189,1856,14
110.427,1931,2109,1924,14
110.320,1865,2109,1976,14
110.464,1848,2175,1982,14
110.480,1896,2221,2033,15
110.496,2026,2203,2091,15
111.397,2036,2228,2039,15
113.743,2005,2267,1910,15
113.965,1996,2248,1941,15
115.303,1974,2230,2025,15
116.801,1930,2239,2041,15
119.867,1929,2247,1964,15
119.879,2044,2248,1992,15
119.905,2015,2266,1980,15
122.990,2016,2270,1902,15
122.816,2009,2241,1990,15
123.390,2035,2219,2048,15
124.825,2078,2264,1947,15
126.252,2069,2284,1863,14
127.358,2035,2237,1928,15
128.665,2057,2218,2005,15
132.615,2004,2251,2023,15
134.812,2096,2260,1955,15
135.240,2192,2252,1997,15
135.279,2176,2192,2015,15
135.353,2059,2254,1963,15
135.379,2101,2245,1931,15
136.594,2091,2139,1967,15
138.046,2022,2223,1966,15
139.625,2139,2270,1820,14
144.243,2232,2261,1884,14
144.321,2127,2174,1819,14
144.341,2059,2212,1875,14
144.425,2066,2252,1915,14
144.610,2208,2207,1990,14
146.024,2055,2106,1943,14
147.496,1985,2223,1664,14
148.670,2172,2235,1717,14
150.059,2140,2119,1983,14
151.369,2136,2164,2071,14
151.633,1973,2196,1768,14
156.803,2139,2217,1776,14
157.408,2196,2141,1783,14
157.502,2027,2090,1815,13
158.800,2007,2116,1839,14
159.533,2032,2113,1847,14
159.405,2088,2090,1763,14
163.290,2073,2100,1760,14
164.266,2174,2282,1796,13
164.274,2004,2119,1832,13
164.302,2136,2136,1902,14
167.634,2032,2089,1836,14
167.807,1917,2076,1679,14
171.213,2056,2100,1687,13
171.214,2312,2109,1940,13
171.214,2142,2069,2012,14
171.220,1925,2044,1724,14
172.303,1916,2130,1565,13
172.506,2008,2073,1610,13
173.813,2093,2083,1817,13
174.502,2003,2063,1788,13
176.915,1982,2060,1671,14
176.803,1996,2058,1721,13
178.903,2029,2100,1633,12
180.783,2021,2096,1724,12
180.795,1970,2071,1756,13
181.759,2021,2147,1733,14
181.769,2013,2091,1648,13
183.582,2035,2084,1640,12
183.621,2034,2084,1741,12
187.826,1988,2096,1737,13
187.840,1979,2089,1778,14
187.994,2035,2063,1718,13
188.019,2108,2062,1642,12
188.639,2066,2060,1811,13
189.606,2123,2091,1898,13
189.951,2091,2063,1885,14
190.505,2062,2068,1766,14
193.534,2104,2071,1672,13
193.473,2152,2077,1866,13
196.154,2133,2068,1944,14
196.245,2099,2077,1912,15
199.262,2114,2071,1794,14
199.425,2121,2068,1724,13
199.449,2131,2074,1850,13
199.500,2101,2084,1896,14
200.731,2119,2087,1891,15
