Time,92W,92X,92Y,92Z
0.497,2032,2120,1739,13
0.667,2043,2125,1735,13
1.170,2055,2111,1707,13
1.468,2056,2104,1698,13
1.862,2085,2151,1736,13
1.889,2044,2111,1735,13
2.646,2066,2116,1764,13
2.675,2055,2107,1758,13
3.082,2070,2116,1734,13
3.565,2065,2107,1756,13
3.993,2047,2106,1788,13
4.402,2040,2103,1781,13
4.809,2013,2090,1764,13
5.267,2031,2144,1812,13
5.285,2000,2116,1743,13
5.723,1969,2109,1724,13
6.189,1928,2088,1751,13
6.525,1880,2089,1763,13
7.134,1895,2101,1763,13
7.418,1913,2102,1733,13
7.918,1923,2094,1723,13
8.357,1924,2092,1765,13
9.000,1929,2116,1796,13
9.032,1939,2116,1775,13
9.199,1932,2106,1769,13
9.709,1939,2102,1750,13
10.308,1954,2120,1764,13
10.556,1977,2114,1769,13
10.983,2003,2100,1775,13
11.771,2017,2103,1790,13
11.775,2032,2123,1789,13
11.798,2053,2127,1799,13
12.235,2067,2104,1828,13
12.674,2057,2136,1795,13
13.146,2053,2155,1781,13
14.146,2055,2135,1840,14
14.156,2080,2116,1879,14
14.503,2087,2152,1874,14
14.938,2103,2166,1832,14
15.203,2104,2141,1830,14
15.215,2094,2121,1857,14
15.556,2118,2140,1868,14
16.048,2141,2145,1843,14
16.361,2135,2122,1788,13
17.495,2081,2117,1782,13
17.580,2108,2144,1824,14
17.741,2095,2127,1798,14
18.170,2095,2079,1801,14
18.671,2095,2086,1803,13
18.707,2169,2117,1787,13
19.102,2194,2082,1754,13
19.597,2147,2071,1749,13
20.047,2130,2084,1793,13
20.525,2163,2076,1825,13
21.999,2163,2057,1738,13
21.441,2136,2060,1691,13
22.040,2153,2062,1739,13
22.283,2186,2039,1738,13
22.356,2162,2028,1739,13
22.719,2168,2044,1708,13
23.254,2215,2032,1692,13
23.662,2198,2013,1676,13
24.148,2212,2019,1742,13
25.115,2191,2031,1739,13
25.129,2177,2017,1664,12
25.605,2150,2015,1643,13
26.046,2192,2032,1721,13
26.047,2225,2035,1788,13
26.298,2209,2028,1743,13
26.729,2196,2020,1718,13
27.618,2204,2049,1670,13
27.678,2224,2043,1718,13
28.108,2204,2028,1728,13
28.584,2145,1997,1637,12
29.037,2146,2007,1631,12
29.512,2232,2032,1714,13
30.017,2174,2017,1692,13
30.524,2095,2013,1596,12
30.540,2099,2020,1645,12
30.949,2183,2024,1731,12
31.436,2219,2028,1774,13
31.842,2197,2024,1766,13
32.353,2161,2024,1689,13
32.786,2145,2019,1673,12
33.253,2155,2011,1814,12
33.267,2168,2031,1870,13
33.734,2102,2037,1712,13
34.188,2074,2029,1680,13
34.646,2066,2016,1769,12
35.159,2073,2016,1784,12
35.629,2104,2015,1711,13
36.112,2119,2017,1688,13
36.594,2085,1993,1702,13
37.037,2084,1992,1732,12
37.037,2109,1986,1753,12
37.560,2099,1986,1698,13
38.066,2119,2002,1648,13
38.449,2121,1982,1701,13
39.086,2101,1973,1702,12
39.412,2099,1982,1696,12
39.865,2109,1977,1633,12
40.225,2079,1971,1620,12
40.687,2066,1972,1651,12
40.753,2079,1988,1650,12
41.108,2092,1986,1673,12
41.493,2081,1965,1693,12
42.133,2017,1954,1627,12
42.414,1957,1998,1527,12
42.987,2039,2020,1648,11
43.358,2135,1991,1781,12
43.782,2120,1987,1774,12
44.246,2037,1981,1751,12
44.264,1991,2033,1700,12
44.727,2031,2058,1659,12
45.140,2082,2048,1706,12
45.596,2092,2032,1758,12
46.066,2116,2046,1763,13
46.491,2076,2044,1741,13
46.913,2004,2047,1724,12
47.402,1973,2056,1730,12
47.847,2014,2048,1708,13
47.858,2128,2072,1727,13
48.270,2103,2072,1745,13
48.740,2044,2074,1788,13
49.119,1935,2089,1792,13
49.530,1962,2105,1717,13
49.960,1992,2091,1689,13
50.355,2011,2080,1744,13
50.787,2009,2068,1792,13
51.219,1995,2073,1783,13
51.227,2025,2106,1767,13
51.681,2000,2093,1764,13
52.160,1995,2098,1750,13
52.616,1981,2113,1758,13
53.183,2016,2120,1803,13
53.572,1995,2103,1860,13
54.052,2013,2123,1823,14
54.453,2014,2140,1809,13
54.921,2008,2124,1792,13
54.937,1992,2139,1773,13
55.397,2022,2147,1783,13
55.885,2045,2151,1828,14
56.356,2044,2150,1841,14
56.818,2050,2171,1786,13
57.331,2084,2204,1746,13
57.762,2057,2184,1819,13
58.249,2030,2167,1883,14
58.720,2048,2188,1856,14
58.738,2062,2208,1744,13
59.128,2082,2208,1745,13
59.572,2069,2198,1814,13
60.023,2042,2191,1827,13
60.494,2067,2204,1779,13
61.471,2059,2208,1728,13
61.505,2086,2205,1785,13
61.948,2072,2183,1832,13
62.431,2068,2216,1808,13
62.474,2071,2228,1747,13
62.877,2087,2223,1802,13
63.339,2084,2212,1844,13
63.805,2051,2215,1758,13
64.279,2065,2235,1706,13
64.759,2071,2220,1763,13
65.201,2089,2209,1825,13
65.600,2067,2199,1847,13
66.069,2139,2293,1847,13
66.083,2085,2249,1777,13
66.598,2069,2238,1814,13
67.055,2052,2234,1826,13
67.456,2055,2243,1782,13
67.958,2082,2258,1791,13
68.457,2102,2239,1850,13
69.346,2099,2226,1868,13
69.411,2085,2237,1801,13
69.442,2177,2373,1852,13
69.821,2100,2256,1833,14
70.169,2100,2244,1856,14
70.607,2110,2253,1824,14
71.128,2115,2252,1814,13
71.497,2112,2250,1796,13
