Time,92W,92X,92Y,92Z
5.269,2108,2113,1563,12
5.337,2079,2110,1545,12
5.365,2108,2111,1578,12
5.396,2111,2122,1612,12
5.507,2106,2106,1611,12
5.454,2076,2109,1561,12
9.018,2075,2119,1534,12
9.037,2115,2140,1538,12
11.852,2119,2125,1560,12
11.875,2069,2116,1547,11
11.886,2062,2120,1524,11
11.897,2109,2146,1481,11
14.318,2119,2151,1487,11
14.371,2094,2129,1547,11
14.974,2094,2141,1558,11
16.224,2085,2139,1542,11
17.458,2076,2118,1550,11
21.924,2061,2103,1568,11
21.930,2057,2105,1592,12
22.369,2072,2098,1579,12
25.130,2066,2086,1528,11
25.181,2027,2060,1507,11
25.196,2008,2061,1523,11
25.231,2045,2065,1563,11
26.761,2067,2068,1559,11
28.443,2068,2051,1541,11
31.810,2065,2046,1527,11
34.968,2047,2023,1554,11
35.205,2033,1989,1586,12
35.570,2063,1998,1587,12
35.684,2110,2004,1543,11
35.839,2112,1987,1526,11
36.167,2103,1968,1545,11
37.394,2145,1975,1575,11
38.425,2182,2010,1575,12
39.796,2167,1984,1540,11
40.625,2138,1967,1519,11
41.356,2184,2023,1531,11
41.389,2213,2017,1567,11
46.577,2221,2015,1572,12
46.883,2181,1997,1545,11
50.121,2176,2010,1528,11
50.151,2230,2025,1531,11
50.180,2224,2037,1572,12
50.212,2205,2065,1600,12
50.987,2253,2057,1582,12
52.503,2373,2098,1567,11
52.484,2251,2049,1553,12
53.878,2199,2046,1608,12
57.341,2273,2064,1639,12
57.403,2339,2099,1619,12
58.980,2263,2107,1569,12
62.533,2248,2059,1548,12
62.563,2309,2057,1583,12
62.615,2317,2094,1651,12
62.898,2291,2153,1663,12
63.859,2236,2132,1591,12
64.339,2191,2120,1542,12
65.807,2243,2126,1600,12
67.195,2351,2165,1692,12
68.866,2367,2190,1724,12
69.723,2228,2166,1636,12
71.167,2137,2143,1594,12
72.679,2210,2165,1634,12
72.732,2312,2192,1715,12
75.172,2244,2191,1756,12
75.172,2066,2206,1695,12
78.739,2093,2154,1618,12
78.739,2210,2122,1619,12
78.739,2235,2191,1695,12
80.726,2119,2258,1752,13
83.314,2035,2245,1719,12
83.331,2076,2227,1626,12
86.493,2142,2181,1639,12
86.577,2088,2208,1713,12
86.594,2048,2222,1782,13
86.636,2078,2202,1718,13
86.664,2128,2190,1642,12
87.283,2149,2195,1644,12
88.926,2151,2195,1722,12
89.461,2127,2204,1781,13
90.597,2138,2156,1736,13
91.769,2165,2169,1635,12
91.769,2149,2165,1627,12
92.823,2148,2199,1698,12
94.945,2168,2211,1765,13
95.784,2175,2205,1714,13
98.283,2147,2199,1640,12
98.115,2130,2223,1624,12
98.852,2153,2223,1705,12
99.446,2165,2206,1767,13
99.466,2149,2174,1715,13
100.382,2139,2182,1641,12
101.324,2170,2198,1619,12
101.721,2191,2225,1693,12
101.902,2183,2231,1756,13
103.750,2180,2264,1712,13
103.425,2171,2259,1643,12
106.801,2152,2231,1621,12
106.945,2181,2245,1697,12
107.107,2165,2196,1739,13
110.940,2215,2185,1697,13
111.081,2243,2183,1623,12
111.214,2214,2178,1590,12
111.371,2188,2208,1653,12
112.648,2193,2258,1702,12
114.534,2165,2256,1658,12
116.479,2124,2219,1616,12
117.833,2134,2257,1629,12
118.456,2122,2306,1666,12
118.518,2087,2301,1703,12
121.410,2052,2259,1696,12
121.422,2060,2266,1658,12
122.917,2065,2254,1663,12
122.835,2053,2233,1706,12
125.864,2040,2222,1727,13
125.972,2027,2235,1700,12
125.910,2078,2216,1669,12
129.758,2032,2183,1674,12
129.902,2018,2144,1708,12
129.947,2034,2176,1707,13
130.842,2051,2161,1655,12
131.777,2044,2125,1616,12
132.868,2008,2102,1642,12
134.290,2006,2107,1647,12
136.544,2003,2088,1641,12
137.057,2014,2108,1600,12
137.511,2042,2118,1564,12
138.112,2039,2055,1585,12
139.277,1992,2022,1612,12
143.985,1957,2006,1599,12
144.024,2012,2007,1553,12
144.048,2039,1995,1516,11
144.644,2037,1988,1516,12
146.464,2058,1991,1542,11
146.562,2105,2007,1537,11
160.606,2118,1992,1498,11
160.606,2106,1974,1471,11
160.606,2112,1991,1481,11
160.606,2171,1995,1495,11
160.606,2188,1989,1504,11
160.606,2142,1975,1486,11
160.606,2145,2022,1473,11
160.606,2245,2043,1461,11
160.606,2251,2029,1489,11
160.606,2180,2010,1519,11
160.606,2131,1999,1527,11
160.606,2197,2037,1494,11
160.606,2241,2036,1477,11
163.275,2164,2017,1498,11
163.569,2120,2024,1535,11
164.632,2229,2091,1552,11
167.004,2288,2100,1513,11
167.157,2251,2059,1475,11
169.235,2155,2058,1511,11
169.235,2154,2115,1580,11
173.938,2284,2174,1605,12
173.943,2308,2148,1541,11
173.943,2131,2091,1506,11
177.123,2100,2094,1525,11
177.396,2251,2172,1575,11
177.482,2380,2256,1619,11
177.579,2137,2143,1574,12
177.686,2124,2131,1532,11
179.207,2239,2208,1517,11
180.746,2265,2227,1590,12
181.823,2179,2199,1679,12
183.332,2088,2199,1631,12
184.615,2117,2181,1582,12
185.531,2154,2208,1563,12
190.158,2208,2239,1647,12
190.239,2168,2188,1705,12
190.314,2134,2165,1669,12
190.398,2131,2153,1608,12
190.494,2137,2149,1588,12
193.390,2147,2145,1634,12
193.390,2142,2137,1685,12
193.390,2116,2127,1653,12
199.553,2110,2111,1593,12
200.145,2132,2112,1561,12
200.537,2132,2104,1616,12
200.559,2138,2110,1660,12
200.580,2138,2098,1637,12
200.590,2133,2085,1582,12
