Time,92W,92X,92Y,92Z
2.277,2027,2027,1812,13
2.370,2028,2029,1787,14
2.457,2048,2032,1793,14
3.444,2042,2035,1750,13
4.011,2007,2029,1819,13
5.113,2030,2027,1819,13
5.121,2042,2042,1775,14
5.809,2023,2021,1732,13
6.819,2047,2026,1663,13
7.526,2047,2038,1755,13
8.755,2032,2027,1776,13
9.621,1984,2027,1735,13
10.685,1937,2028,1645,13
11.538,1952,2024,1592,12
12.465,1971,2023,1719,12
12.481,1976,2035,1744,13
12.877,1946,2032,1688,13
14.002,1933,2034,1625,13
15.057,1923,2008,1605,12
15.759,1952,2014,1718,12
16.492,1981,1993,1737,13
17.504,1990,1990,1680,13
19.900,2024,1971,1621,13
19.955,2017,1980,1578,12
19.987,1962,1986,1719,12
20.913,1971,1965,1758,13
21.889,2004,1971,1804,13
22.797,1970,1970,1867,13
25.046,1983,1953,1834,13
25.071,2069,1971,1853,13
27.061,2137,1970,1924,14
27.383,2132,2003,1975,14
28.100,2132,2067,1969,14
28.120,2115,2062,2001,14
29.251,2070,2047,2062,14
30.093,2080,2088,1912,14
31.658,2135,2109,1844,14
33.751,2159,2071,1966,14
33.783,2078,2048,1958,14
34.856,2048,2064,1872,14
35.979,2081,2081,1822,14
37.875,2180,2060,1888,14
37.170,2197,2072,1832,14
38.233,2148,2072,1688,13
39.295,2101,2055,1729,13
40.301,2156,2066,1745,13
41.616,2220,2077,1719,13
42.905,2179,2043,1650,13
43.431,2120,2020,1601,13
44.263,2084,2031,1583,12
45.919,2120,2034,1661,12
46.037,2171,2027,1682,13
46.489,2145,2015,1635,13
47.699,2088,2015,1612,12
48.914,2052,2035,1632,12
50.040,2072,2064,1697,12
51.140,2084,2061,1778,13
52.332,2037,2038,1774,13
53.339,2042,2028,1771,13
54.374,2092,2076,1855,13
54.335,1984,2058,1846,13
55.472,1929,2086,1904,14
56.692,1936,2137,1948,14
57.735,1951,2126,2011,14
58.931,1920,2110,2045,14
60.997,1882,2165,1950,14
61.708,1876,2199,1883,14
62.222,1837,2174,1981,14
63.560,1864,2273,2180,15
63.611,1853,2254,2077,15
64.527,1858,2271,2077,15
65.520,1911,2237,2094,15
66.550,1943,2239,2032,15
67.668,1968,2266,1967,15
68.855,1975,2237,2005,15
69.964,2020,2212,2019,15
71.168,2055,2198,1999,15
72.306,2221,2352,2089,15
72.367,2120,2150,1955,15
73.010,2106,2136,1899,15
74.363,2129,2171,1859,14
75.527,2006,2119,1947,15
76.678,2016,2096,1978,15
77.869,2130,2180,1886,14
78.984,2080,2171,1848,14
80.047,2068,2001,1913,14
83.224,2120,2047,1896,14
84.377,2069,2120,1581,14
84.377,2040,2100,1720,13
84.377,2016,1919,2007,14
84.379,1821,1917,1819,14
85.198,2007,2069,1427,13
88.314,1869,1969,1591,13
88.274,1714,1891,1779,13
88.274,1604,1993,1637,12
89.312,1666,2064,1657,12
89.806,1728,2008,1771,13
90.400,1751,1985,1837,13
91.195,1780,2042,1852,13
92.754,1752,2065,1837,13
95.362,1670,2062,1841,13
96.245,1667,2062,1848,14
97.662,1671,2083,1828,14
98.426,1752,2075,1844,14
98.550,1856,2069,1913,14
98.576,1838,2047,1944,14
99.204,1861,2048,1964,14
99.904,1901,2056,1880,14
100.901,1931,2033,1874,14
102.045,1963,2007,1955,14
102.968,1994,2064,1963,14
104.464,1971,2062,1985,15
105.310,1901,1988,1999,15
105.335,1945,1952,1946,15
106.468,1936,2001,1780,14
107.487,2025,2100,1761,14
108.142,2109,2007,2016,15
109.390,2034,1914,2066,15
110.494,1933,1983,1861,14
111.501,2023,2053,1592,13
112.568,2027,1998,1700,13
113.427,1994,1935,1871,14
113.554,2020,2039,1667,14
114.542,2123,2121,1581,13
115.459,2091,2040,1761,13
117.155,2071,1957,1738,13
117.820,2052,1981,1490,13
119.013,2119,2036,1315,12
120.230,2166,2020,1533,12
121.255,2011,1997,1725,12
122.896,2037,2038,1833,12
122.950,2120,2073,1802,13
123.638,2078,2047,1756,14
124.597,2030,2023,1719,13
125.801,1906,2010,1647,12
126.931,1853,2010,1796,13
128.084,1873,2022,1828,13
129.149,1871,2002,1858,14
130.028,1913,2011,1831,14
131.295,1935,2023,1710,13
131.329,1861,2028,1871,13
132.641,1890,1995,1920,14
134.658,1876,1987,1859,14
135.631,1918,1983,1768,14
135.984,2011,1967,1678,13
136.669,1994,1964,1811,13
137.812,1772,1981,1884,14
138.815,1735,1950,1916,14
140.123,1944,1927,1804,14
140.175,2050,1982,1656,13
141.143,2049,2002,1767,13
142.583,2008,1989,1883,14
143.540,1974,1959,1900,14
144.126,2075,1946,1776,14
145.335,2165,1985,1590,13
146.851,2227,1989,1715,13
147.492,2215,1967,1848,13
148.686,2223,1975,1860,14
148.721,2266,2006,1706,13
149.812,2284,1991,1680,13
151.070,2253,1993,1760,13
152.272,2238,2002,1735,13
153.425,2183,2002,1777,14
155.663,2081,2016,1754,13
155.823,2040,2023,1727,13
156.961,2064,2004,1812,13
157.670,2092,2034,1838,13
158.108,2048,2031,1842,14
159.012,2047,2016,1776,14
160.171,1997,2005,1715,13
161.023,1963,2006,1804,13
162.219,2019,2017,1846,13
163.233,2068,2003,1877,14
164.139,2042,2006,1794,14
165.398,2011,2016,1714,13
166.201,1994,2022,1832,13
166.330,1987,2000,1847,13
167.592,2024,2024,1846,14
168.461,2030,2024,1774,14
169.205,2027,2002,1771,13
171.768,1993,2005,1791,13
171.789,1990,2009,1799,13
