Time,92W,92X,92Y,92Z
1.032,2133,1989,1556,11
2.056,2166,1995,1570,12
2.984,2176,1998,1532,11
4.078,2147,1967,1496,11
5.265,2147,1971,1508,11
5.494,2169,2000,1545,11
6.285,2193,2041,1561,11
7.134,2175,2032,1536,11
7.832,2106,2012,1511,11
9.979,2083,2002,1540,11
9.854,2140,2027,1553,11
10.756,2178,2035,1569,11
11.693,2146,2049,1550,11
12.683,2051,2037,1531,11
12.705,2042,2008,1528,11
13.558,2089,2017,1544,11
14.597,2183,2087,1588,12
15.861,2188,2149,1576,12
16.915,2057,2047,1539,11
18.141,1994,2056,1492,11
19.308,2177,2129,1525,11
20.514,2272,2187,1580,12
21.583,2147,2116,1587,12
21.590,2021,2094,1520,11
22.728,2097,2136,1494,11
23.850,2241,2231,1523,11
24.950,2263,2208,1579,12
26.375,2112,2085,1612,12
26.961,2055,2120,1549,12
27.769,2180,2192,1493,11
29.333,2297,2153,1522,11
30.280,2213,2104,1594,12
30.381,2091,2122,1627,12
31.601,2068,2147,1589,12
32.673,2187,2163,1541,12
33.730,2243,2110,1573,12
34.991,2122,2124,1629,12
36.047,2047,2119,1675,12
37.377,2081,2122,1627,12
38.707,2185,2140,1582,12
39.724,2200,2139,1591,12
39.757,2132,2152,1654,12
41.049,2124,2155,1693,12
42.275,2144,2175,1655,12
43.373,2164,2173,1591,12
44.076,2136,2157,1602,12
45.684,2128,2170,1654,12
47.025,2141,2194,1702,12
48.132,2152,2197,1653,12
49.492,2206,2195,1612,12
49.543,2206,2171,1607,12
50.388,2199,2184,1659,12
51.667,2208,2185,1700,12
52.890,2208,2194,1668,12
54.160,2207,2178,1610,12
55.233,2220,2184,1618,12
56.496,2211,2181,1672,12
57.295,2154,2176,1712,12
58.735,2205,2250,1694,12
58.820,2173,2188,1635,12
59.801,2226,2163,1633,12
61.149,2160,2172,1668,12
62.190,2108,2161,1709,12
63.798,2105,2212,1667,12
64.957,2177,2200,1633,12
64.924,2198,2187,1631,12
66.029,2156,2177,1684,12
66.515,2184,2211,1722,12
66.543,2150,2181,1696,12
67.371,2158,2140,1652,12
68.455,2150,2138,1647,12
69.598,2166,2141,1700,12
71.245,2148,2144,1722,13
71.972,2101,2131,1679,12
72.350,2088,2138,1650,12
74.069,2073,2154,1657,12
75.820,2081,2152,1714,12
75.820,2079,2127,1742,13
75.357,2049,2138,1705,13
76.249,2022,2190,1661,12
77.895,2045,2192,1689,12
78.657,2045,2157,1733,13
79.640,1994,2162,1746,13
81.727,1980,2151,1716,13
81.890,1997,2147,1675,12
81.802,2042,2155,1704,13
83.130,2010,2158,1744,13
84.186,1999,2165,1740,13
85.349,2032,2152,1709,13
86.539,2048,2142,1674,13
87.753,2061,2148,1686,13
89.083,2081,2164,1715,13
90.997,2082,2160,1715,13
91.247,2077,2144,1678,13
91.455,2092,2146,1643,12
92.386,2108,2144,1659,12
93.745,2130,2155,1687,12
94.457,2140,2148,1691,12
96.143,2101,2167,1657,12
97.250,2087,2170,1616,12
98.385,2116,2151,1624,12
99.792,2135,2130,1658,12
102.455,2152,2136,1655,12
102.448,2099,2159,1618,12
102.479,2089,2147,1585,12
103.579,2100,2164,1599,12
104.873,2143,2132,1637,12
106.122,2166,2116,1653,12
107.946,2152,2141,1616,12
108.112,2129,2141,1583,12
109.371,2127,2148,1608,12
110.515,2136,2127,1648,12
110.607,2142,2115,1674,12
111.479,2159,2087,1648,12
112.752,2167,2104,1607,12
113.991,2131,2123,1629,12
115.349,2094,2108,1655,12
116.919,2096,2127,1663,12
117.397,2195,2093,1637,12
118.642,2222,2087,1621,12
119.862,2159,2106,1636,12
119.900,2083,2126,1651,12
120.940,2072,2136,1666,12
122.994,2122,2128,1637,12
123.847,2150,2062,1608,12
125.076,2138,2069,1639,12
125.790,2118,2099,1656,12
126.886,2084,2122,1628,12
128.329,2117,2043,1608,12
129.190,2156,2080,1597,12
129.262,2159,2098,1624,12
130.326,2167,2050,1634,12
131.581,2128,2043,1607,12
132.849,2134,2067,1578,12
133.881,2166,2083,1557,12
135.230,2157,2047,1571,12
135.924,2132,2023,1595,12
137.102,2131,2048,1588,12
138.168,2165,2088,1543,12
138.192,2142,2039,1515,12
139.356,2158,2037,1541,12
140.654,2147,2068,1565,12
142.039,2113,2084,1567,12
143.331,2095,2069,1519,11
144.179,2109,2062,1511,11
145.311,2111,2066,1543,11
146.639,2096,2081,1554,12
147.588,2136,2092,1571,11
147.647,2068,2013,1526,12
148.739,2061,2045,1511,11
149.906,2097,2028,1525,11
151.389,2099,2020,1548,11
152.368,2044,2048,1549,11
153.706,2080,2058,1519,11
154.938,2116,2061,1499,11
155.886,2086,2046,1513,11
156.876,2097,2073,1545,11
157.008,2135,2089,1563,11
158.173,2120,2077,1525,11
159.226,2081,2050,1511,11
160.463,2113,2065,1512,11
161.653,2157,2078,1534,11
162.897,2180,2072,1559,11
164.001,2115,2060,1540,11
165.088,2087,2069,1515,11
165.188,2183,2092,1511,11
168.351,2176,2093,1540,11
168.358,2123,2073,1566,11
168.574,2139,2071,1563,11
169.651,2204,2103,1529,11
171.037,2212,2120,1512,11
171.850,2190,2113,1530,11
172.817,2153,2098,1571,11
173.907,2148,2095,1594,12
174.006,2195,2114,1559,12
175.152,2216,2112,1521,11
176.325,2188,2106,1541,11
177.435,2196,2113,1604,12
178.732,2262,2142,1607,12
180.132,2298,2139,1570,12
