Time,92W,92X,92Y,92Z
2.381,2038,2076,1856,14
2.410,2055,2092,1824,14
2.377,2047,2086,1764,14
4.309,2020,2054,1803,13
4.767,2021,2063,1904,14
6.866,2034,2092,1957,14
6.880,2044,2120,1832,14
7.868,1964,2092,1748,14
9.090,1896,2066,1767,13
10.323,1929,2080,1848,14
12.427,2009,2106,1970,14
12.108,2000,2076,1806,14
15.061,1955,2058,1766,14
15.764,1952,2090,1833,13
21.775,2047,2074,1911,14
21.952,2095,2037,1937,15
25.697,2000,2044,1771,14
25.741,1905,2065,1755,14
25.746,1995,2016,1842,13
25.753,2147,2045,1798,13
25.760,2110,2087,1874,14
25.771,1974,2072,1809,14
25.782,1963,2023,1752,14
27.307,2049,2009,1756,13
28.001,2182,2047,1744,13
28.036,2105,2029,1860,14
29.945,2065,1991,1752,14
30.685,2110,1968,1783,13
32.773,2237,2012,1834,13
32.891,2240,2042,1812,13
34.761,2020,1971,1846,14
34.805,2148,2017,1685,14
35.490,2232,2050,1729,13
36.667,2199,2059,1792,13
38.036,2107,2052,1805,13
38.802,2061,2043,1873,14
39.661,2235,2034,1833,14
40.891,2273,2067,1807,13
40.944,2182,2072,1707,13
42.264,2159,2057,1807,13
43.592,2210,2062,1924,14
44.848,2128,2057,1788,14
46.111,2124,2065,1776,14
47.540,2089,2070,1799,13
48.807,2158,2063,1859,14
49.816,2156,2050,1943,14
50.725,2045,2072,1812,14
50.733,2008,2083,1727,13
53.404,2116,2076,1803,13
53.872,2071,2050,1883,14
54.048,2048,2071,1855,14
55.548,2102,2083,1735,14
56.608,2116,2069,1763,13
57.614,2048,2058,1689,13
62.149,1979,2059,1697,13
62.244,2067,2069,1787,13
62.167,2189,2092,1667,13
62.291,2120,2071,1636,13
62.311,2092,2073,1637,12
66.917,2069,2079,1669,13
66.917,2081,2072,1691,13
66.928,2076,2072,1623,13
67.017,2166,2075,1646,13
69.351,2181,2080,1686,12
69.499,2158,2095,1776,13
69.553,2136,2121,1844,13
70.059,2052,2089,1775,13
71.289,2082,2101,1756,13
73.240,2123,2117,1758,13
73.572,2106,2123,1856,13
74.450,2043,2104,1976,14
76.770,2024,2110,1857,14
77.063,2021,2099,1885,14
78.253,2104,2152,1872,13
78.270,2014,2139,1760,13
79.428,2004,2150,1860,14
80.821,2008,2131,1876,14
81.951,1972,2124,1987,14
83.015,1991,2142,1997,14
84.450,2000,2188,1817,14
85.685,2036,2180,1843,14
88.404,2040,2124,1900,14
88.977,1957,2097,1944,14
89.055,1924,2147,1863,14
89.608,1917,2144,1884,14
91.078,1879,2115,1950,14
92.392,1847,2115,1886,14
94.026,1891,2147,1854,14
95.443,1969,2164,1862,14
96.842,2019,2185,1883,14
98.310,2031,2176,1896,14
99.831,2046,2182,1961,14
99.927,2001,2220,2008,15
101.249,2038,2214,2041,15
103.078,2023,2213,2046,15
104.605,1982,2234,1973,15
105.200,1976,2237,1915,15
106.354,2006,2240,1944,15
107.386,2011,2224,2035,15
108.816,1989,2197,2080,15
109.832,2000,2235,2029,15
109.895,2010,2276,1891,15
111.092,2039,2244,1945,15
112.436,2016,2208,2007,15
113.638,2023,2219,2001,15
117.264,2036,2236,1968,15
117.297,2052,2217,1967,15
117.329,2073,2199,1936,15
121.629,2068,2214,1923,14
121.629,2059,2194,2056,15
121.632,2097,2176,2039,15
121.745,2070,2195,1852,15
122.534,2108,2240,1856,14
123.077,2080,2163,2019,15
126.467,2100,2133,1993,15
126.559,2041,2175,1896,15
127.109,2072,2203,1836,14
128.985,2066,2119,1877,14
129.518,2050,2091,1859,14
129.588,1992,2141,1789,14
130.734,2059,2167,1807,14
132.768,2155,2119,1810,14
133.351,1962,2079,1790,14
134.713,1827,2091,1689,13
136.101,2020,2150,1699,13
137.515,2169,2112,1920,14
138.554,2106,2060,1915,14
139.884,1989,2104,1689,13
139.878,1915,2144,1548,12
